id,skill_name,skill_type
1,Java,2
2,Servlets,1
3,JSP,1
4,PHP,2
5,MySQL,1
6,Oracle,1
7,Python,2
8,Django Framework,1
9,Apache Struts,1
10,Hibernate,1
11,PostgreSQL,1
12,Android Development,1
13,iOS Development,1
14,Windows Phone Development,1
15,Web Services,3
16,.NET Framework,1
17,C,2
18,C++,2
19,Object-oriented Programming,4
20,CMS,3
21,Wordpress,1
22,Joomla,1
23,Drupal,1
24,Networking,3
25,System Administration,3
26,Bootstrap,1
27,Gumby,1
28,HTML,1
29,CSS,1
30,Javascript,2
31,Ajax,1
32,Apache Server,1
33,Apache Maven,1
34,Apache Tomcat,1
35,JBoss,1
36,Glassfish,1
37,Ruby,2
38,Ruby on Rails,1
39,Perl,2
40,Business Analysis,3
41,Github,1
42,Apache Subversion,1
43,Linux,3
44,Shell Scripting,3
45,Web Develepment,3
46,UI Design,4
47,UX Design,4
48,UML,3
49,XML,1
50,SOAP,1
51,REST,1
52,JSON,1
53,Graphic Design,3
54,Enterprise Resource Planning,3
55,Strategic Management,3
56,HR Management,3
57,DBMS,3
58,LaTeX,1
59,Microsoft Office,1
60,C#,2
61,Moodle,1
62,Social Media Marketing,3
63,Wireless Ad-Hoc and Sensor Networks,3
64,Adobe Photoshop,1
65,Adobe After Effects,1
66,Adobe Fireworks,1
67,Adobe Premiere Pro,1
68,Adobe Illustrator,1
69,Accountancy,3
70,Economics,3
71,Sociology,3
72,Psychology,3
73,3DStudio Max,1
74,Maya,1
75,Middleware Architectures,4
76,Data-mining,3
77,Instructional Design,3
78,Risk management,3
79,IT Procurement,3
80,Research Methods and Concepts,4
81,Distributed Computing,3
82,High Performance Computing,3
83,Cryptography,3
84,System Programming,3
85,Operating System Concepts,4
86,Electronics,3
87,Natural Language Processing,3
88,Neural Networks and Computing,3
89,Software Development Life Cycle,4
90,System Analysis and Design,3
91,Human Computer Interaction,3
92,Compilers and Automata Theory,3
93,Data Structures and Algorithms,3
94,Statistics,3
95,Computer Graphics and Image Processing,3
96,Augmented Reality,3
97,Virtual Reality,3
98,Intelligent Systems,3
99,Computational Pattern Recognition,3
100,MongoDB,1
101,Enterprise Modelling,3
102,IT Project Management,3
103,NoSQL,4
104,Apache Hadoop,1
105,Git,1
106,Supply Chain Management,3
107,Customer Relationship Management,3
108,Bio-Informatics,3
109,Geographic IS,3
110,IS Security and Audit,3
111,SQL,2
